4639805.9,800.5,0.4
471719,805.8,800.5,0.4
471869,805.8,800.5,0.4
472019,805.9,800.4,0.5
472169,805.9,800.4,0.5
472320,806.0,800.4,0.5
472469,805.9,800.4,0.5
472619,805.9,800.4,0.5
472769,805.6,800.4,0.4
472919,805.2,800.4,0.4
473068,805.3,800.4,0.4
473219,805.2,800.4,0.4
473368,805.3,800.4,0.4
473519,805.8,800.3,0.5
473668,805.8,800.3,0.5
473818,805.9,800.5,0.4
473968,805.9,800.4,0.5
474118,805.9,800.3,0.5
474268,805.9,800.3,0.5
474418,805.9,800.4,0.5
474567,805.3,800.4,0.4
474718,805.3,800.3,0.4
474867,805.3,800.4,0.4
475018,805.3,800.4,0.4
475167,805.3,800.3,0.4
475317,805.3,800.3,0.4
475467,805.2,800.3,0.4
475617,805.3,800.3,0.4
475766,805.3,800.4,0.4
475917,805.3,800.4,0.4
476066,805.2,800.4,0.4
476216,805.3,800.4,0.4
476326,805.3,125.9,56.6
476437,805.7,124.4,56.8
476547,805.8,107.3,58.2
476614,108.9,104.3,0.4
476724,805.6,101.2,58.7
476833,805.3,112.3,57.7
476943,805.3,111.6,57.8
477052,805.2,112.5,57.7
477162,805.3,114.4,57.6
477312,805.3,800.4,0.4
477462,805.6,800.3,0.4
477572,120.3,800.3,-56.7
477721,805.3,800.3,0.4
477872,805.3,800.4,0.4
478021,805.3,800.4,0.4
478171,805.2,800.5,0.4
478321,805.9,800.3,0.5
478471,805.4,800.3,0.4
478621,805.1,800.3,0.4
478771,805.3,800.4,0.4
478920,805.3,800.3,0.4
479071,805.9,800.4,0.5
479220,805.9,800.4,0.5
479371,805.8,800.5,0.4
479520,805.8,800.4,0.5
479670,805.8,800.5,0.4
479820,805.8,800.4,0.5
479970,805.8,800.4,0.5
480120,805.7,800.4,0.4
480270,805.9,800.4,0.5
480419,805.8,800.5,0.4
480570,805.8,800.4,0.5
480719,805.8,800.4,0.5
480870,805.8,800.4,0.4
481019,805.9,800.4,0.5
481169,
