800.5.3,800.6,0.4
672867,805.3,800.4,0.4
673016,805.7,800.5,0.4
673167,805.2,800.4,0.4
.4,0.4
672567,805.3,800.4,0.4
672717,805.3,800.6,0.4
672867,805.3,800.4,0.4
673016,805.7,800.5,0.4
673167,805.2,800.4,0.4
673316,805.3,800.4,0.4
673466,805.3,800.6,0.4
673616,805.3,800.4,0.4
673766,805.2,800.4,0.4
673916,805.2,800.5,0.4
674066,805.1,800.4,0.4
674215,805.6,800.4,0.4
674366,805.7,800.4,0.4
674515,805.7,800.4,0.4
674666,805.9,800.6,0.4
674816,805.7,800.5,0.4
674965,805.8,800.5,0.4
675116,805.8,800.4,0.4
675265,805.9,800.5,0.4
675416,805.8,800.5,0.4
675565,805.8,800.4,0.5
675715,805.8,800.4,0.4
675865,805.8,800.4,0.4
676015,805.7,800.3,0.4
676165,805.8,800.4,0.5
676315,805.8,800.5,0.4
676464,805.8,800.5,0.4
676615,805.7,800.4,0.4
676764,805.8,800.4,0.4
676915,805.3,800.5,0.4
677064,805.3,800.5,0.4
677214,805.3,800.5,0.4
677364,805.3,800.4,0.4
677514,805.2,800.4,0.4
677663,805.1,800.5,0.4
677814,805.2,800.4,0.4
677963,805.2,800.4,0.4
678114,805.2,800.6,0.4
678263,805.2,800.4,0.4
678413,805.2,800.5,0.4
678563,805.6,800.5,0.4
678713,805.8,800.4,0.4
678862,805.8,800.5,0.4
679013,805.7,800.4,0.4
679162,805.8,800.5,0.4
679313,805.6,800.5,0.4
679462,805.8,800.4,0.4
679613,805.9,800.4,0.5
679762,805.7,800.4,0.4
679912,805.8,800.4,0.5
680062,805.7,800.4,0.4
680212,805.7,800.4,0.4
680363,805.7,800.5,0.4
680512,805.8,800.4,0.4
680629,237.4,800.4,-46.9
680778,805.8,800.4,0.4
680929,805.7,800.4,0.4
681078,805.9,800.4,0.5
681228,805.8,800.5,0.4
681378,805.8,800.5,0.4
681528,805.7,800.4,0.4
681678,805.6,800.4,0.4
681828,805.8,800.5,0.4
681977,805.6,800.5,0.4
682128,805.8,800.4,0.4
682277,805.8,800.5,0.4
682428,805.6,800.4,0.4
682577,805.8,800.4,0.5
682727,805.7,800.7,0.4
682877,805.8,800.4,0.4
683027,805.8,800.4,0.4
683177,805.6,800.4,0.4
683327,805.7,800.4,0.4
683476,805.7,800.5,0.4
683627,805.7,800.5,0.4
683777,805.9,800.3,0.5
683927,805.7,800.4,0.4
684077,805.8,800.4,0.5
684226,805.7,800.5,0.4
684377,805.9,800.4,0.5
684526,805.8,800.4,0.5
684677,805.7,800.3,0.5
684826,805.6,800.3,0.4
684976,805.1,800.4,0.4
685126,805.3,800.4,0.4
685276,805.2,800.4,0.4
685426,805.2,800.5,0.4
685576,805.2,800.3,0.4
685725,805.2,800.4,0.4
685876,805.1,800.3,0.4
686025,805.2,800.4,0.4
686175,805.8,800.5,0.4
686325,806.0,800.4,0.5
686475,805.8,800.4,0.5
686625,805.7,800.3,0.4
686775,805.8,800.4,0.5
686924,805.9,800.6,0.4
687075,805.2,800.5,0.4
687224,805.2,800.4,0.4
687375,805.7,800.4,0.4
687524,805.8,800.4,0.4
687674,805.8,800.6,0.4
687824,805.7,800.5,0.4
687974,805.8,800.4,0.4
688124,805.6,800.5,0.4
688274,805.9,800.4,0.5
688423,805.7,800.5,0.4
688574,805.6,800.4,0.4
688723,805.3,800.4,0.4
688874,805.2,800.4,0.4
689024,805.3,800.3,0.4
689173,805.8,800.4,0.5
689324,805.2,800.4,0.4
689473,805.2,800.4,0.4
689623,805.2,800.4,0.4
689739,224.2,800.5,-48.0
689855,805.8,223.3,48.5
689971,805.7,221.9,48.7
690086,222.5,800.4,-48.2
690237,805.8,800.4,0.5
690386,805.8,800.4,0.5
690537,805.8,800.3,0.5
690686,805.8,800.4,0.5
690836,805.9,800.5,0.4
690987,805.7,800.4,0.4
691136,805.8,800.4,0.4
691287,805.7,800.5,0.4
691436,805.8,800.3,0.5
691586,805.8,800.5,0.4
691736,805.8,800.4,0.4
691886,805.8,800.4,0.4
692036,805.3,800.4,0.4
692186,805.2,800.4,0.4
692335,805.8,800.4,0.5
692486,805.8,800.4,0.4
692635,805.8,800.3,0.5
692786,805.8,800.3,0.5
692935,805.9,800.3,0.5
693085,805.8,800.3,0.5
693235,805.9,800.3,0.5
693385,805.9,800.4,0.5
693535,805.7,800.3,0.5
693685,805.7,800.3,0.4
693834,805.2,800.3,0.4
693985,805.2,800.3,0.4
694134,805.2,800.3,0.4
694284,805.2,800.4,0.4
694434,805.2,800.3,0.4
694584,805.6,800.3,0.4
694734,805.2,800.5,0.4
694884,805.2,800.4,0.4
695033,805.7,800.3,0.5
695184,805.7,800.4,0.4
695333,805.1,800.3,0.4
695483,805.2,800.5,0.4
695633,805.2,800.4,0.4
