765,52.5,-0.1
779872,51.5,52.5,-0.1
779933,51.5,52.5,-0.1
779996,52.0,52.2,-0.0
0,53.0,-0.1
779748,52.0,52.5,-0.0
779810,51.5,52.5,-0.1
779872,51.5,52.5,-0.1
779933,51.5,52.5,-0.1
779996,52.0,52.2,-0.0
780057,52.0,52.2,-0.0
780119,51.7,53.0,-0.1
780181,51.7,53.0,-0.1
780242,51.7,53.4,-0.1
780304,51.7,52.5,-0.1
780366,51.2,52.9,-0.1
780428,52.0,53.2,-0.1
780489,51.5,52.7,-0.1
780552,51.5,53.2,-0.1
780613,51.5,53.2,-0.1
780675,51.5,53.2,-0.1
780737,51.4,53.5,-0.2
780798,51.5,53.5,-0.2
780860,51.8,52.7,-0.1
780922,51.8,52.7,-0.1
780984,51.8,52.7,-0.1
781045,51.8,51.8,0.0
781108,51.8,51.8,0.0
781169,51.5,51.0,0.0
781231,52.0,51.5,0.0
781292,52.0,51.1,0.1
781355,51.8,51.3,0.0
781416,52.2,51.0,0.1
781477,52.9,51.7,0.1
781540,53.9,52.0,0.2
781601,56.6,52.3,0.4
781664,56.4,53.2,0.3
781726,56.5,53.7,0.2
781788,56.6,55.1,0.1
781850,55.5,55.8,-0.0
781913,54.9,56.0,-0.1
781974,55.4,56.2,-0.1
782036,55.6,58.2,-0.2
782099,56.2,57.9,-0.1
782161,56.6,57.9,-0.1
782224,58.1,58.9,-0.1
782287,59.5,62.6,-0.3
782350,62.3,62.0,0.0
782413,65.1,63.6,0.1
782477,66.3,65.6,0.1
782540,68.3,67.5,0.1
782604,70.4,69.6,0.1
782668,76.1,71.7,0.4
782733,73.4,72.1,0.1
782797,74.6,73.6,0.1
782862,75.2,75.4,-0.0
782926,76.3,77.1,-0.1
782991,78.1,81.6,-0.3
783056,80.5,81.4,-0.1
783122,84.2,83.6,0.0
783187,87.5,86.6,0.1
783254,90.9,87.9,0.3
783320,92.4,90.2,0.2
783387,95.0,92.0,0.2
783454,94.3,93.9,0.0
783520,96.3,95.8,0.0
783588,98.2,97.0,0.1
783654,99.9,98.9,0.1
783722,102.1,100.7,0.1
783791,105.7,103.3,0.2
783858,106.7,105.9,0.1
783927,109.2,108.4,0.1
783996,124.5,110.8,1.1
784065,113.9,112.7,0.1
784135,121.2,115.0,0.5
784205,122.3,117.4,0.4
784275,123.5,121.3,0.2
784346,122.7,123.2,-0.0
784415,123.5,123.4,0.0
784486,126.1,126.5,-0.0
784596,129.2,800.4,-55.9
784667,132.5,134.7,-0.2
784779,805.9,140.3,55.5
784890,805.8,142.7,55.3
784963,141.7,141.3,0.0
785036,147.5,146.2,0.1
785110,148.1,166.6,-1.5
785222,805.8,163.4,53.5
785296,154.8,153.5,0.1
785372,161.9,165.1,-0.3
785483,164.5,800.4,-53.0
785597,805.7,177.0,52.4
785673,170.1,178.9,-0.7
785748,167.2,168.2,-0.1
785825,184.5,173.1,0.9
785902,185.6,176.1,0.8
785980,191.0,182.7,0.7
786094,190.1,800.4,-50.9
786244,805.2,800.5,0.4
786394,805.2,800.4,0.4
786543,805.3,800.5,0.4
786694,805.1,800.4,0.4
786843,805.2,800.4,0.4
786993,805.2,800.5,0.4
787143,805.1,800.3,0.4
787293,805.2,800.4,0.4
787443,805.2,800.4,0.4
787593,805.8,800.4,0.5
787742,805.9,800.3,0.5
787893,805.8,800.3,0.5
788042,805.8,800.3,0.5
788193,805.8,800.5,0.4
788342,805.9,800.3,0.5
