918805.1,800.4,0.4
929077,805.2,800.3,0.4
929226,805.3,800.4,0.4
929377,805.3,800.4,0.4
929526,805.8,800.4,0.5
929677,805.9,800.5,0.4
929826,805.9,800.4,0.5
929976,805.9,800.4,0.5
930126,805.2,800.3,0.4
930276,805.3,800.4,0.4
930425,805.8,800.4,0.4
930576,805.8,800.4,0.5
930725,805.9,800.3,0.5
930876,805.2,800.3,0.4
931025,805.2,800.3,0.4
931175,805.2,800.4,0.4
931325,805.3,800.4,0.4
931475,805.3,800.3,0.4
931625,805.3,800.5,0.4
931775,805.3,800.4,0.4
931924,805.3,800.3,0.4
932075,805.2,800.4,0.4
932225,805.3,800.4,0.4
932374,805.2,800.3,0.4
932525,805.3,800.3,0.4
932674,805.3,800.4,0.4
932825,805.9,800.5,0.5
932974,805.9,800.4,0.5
933124,806.0,800.4,0.5
933274,805.9,800.4,0.5
933424,805.3,800.4,0.4
933574,805.3,800.5,0.4
933724,805.3,800.4,0.4
933873,805.3,800.4,0.4
934024,805.2,800.3,0.4
934173,805.3,800.4,0.4
934323,805.2,800.3,0.4
934473,805.4,800.4,0.4
934623,806.1,800.4,0.5
934773,805.8,800.4,0.4
934881,82.1,800.5,-59.9
935030,805.8,800.4,0.5
935138,80.6,800.3,-60.0
935244,69.0,800.3,-60.9
935351,68.7,800.4,-61.0
935416,69.3,87.5,-1.5
935481,70.1,86.3,-1.3
935545,70.0,85.2,-1.3
935610,69.0,84.4,-1.3
935675,69.6,84.0,-1.2
935739,68.0,72.1,-0.3
935802,67.1,70.2,-0.3
935866,66.4,68.8,-0.2
935929,65.8,67.4,-0.1
935993,64.8,66.8,-0.2
936056,65.0,67.5,-0.2
936120,65.1,69.7,-0.4
936183,67.3,69.4,-0.2
936248,68.1,71.0,-0.2
936312,69.8,78.3,-0.7
936377,77.2,78.1,-0.1
936441,77.2,77.9,-0.1
936506,77.8,78.6,-0.1
936571,80.1,79.1,0.1
936636,78.7,79.6,-0.1
936701,79.5,80.4,-0.1
936766,80.6,80.1,0.0
936832,81.0,83.3,-0.2
936897,82.4,80.9,0.1
936963,84.6,81.3,0.3
937027,82.6,80.6,0.2
937093,82.4,80.4,0.2
937158,82.1,80.2,0.2
937223,82.3,80.0,0.2
937288,81.9,79.7,0.2
937354,83.0,79.7,0.3
937418,82.1,79.6,0.2
937484,81.5,79.8,0.1
937548,81.1,79.8,0.1
937614,80.5,80.1,0.0
937678,80.4,80.5,-0.0
937744,80.7,79.4,0.1
937809,82.6,79.7,0.2
937874,80.3,79.6,0.1
937939,79.2,79.2,0.0
938004,79.7,78.7,0.1
938070,80.5,81.5,-0.1
938134,80.0,80.2,-0.0
938200,80.3,84.0,-0.3
938265,82.4,81.7,0.1
938330,85.7,80.7,0.4
938395,85.3,81.3,0.3
938461,82.9,80.4,0.2
938526,84.3,82.3,0.2
938592,84.3,81.4,0.2
938657,85.6,80.2,0.5
938722,82.1,80.7,0.1
938787,82.1,82.2,-0.0
938853,82.5,81.6,0.1
938918,84.3,83.5,0.1
938984,82.7,84.1,-0.1
939048,82.4,81.2,0.1
939114,83.0,81.7,0.1
939180,83.3,82.7,0.1
939245,82.5,80.9,0.1
939311,82.0,85.9,-0.3
939375,82.3,78.2,0.3
939440,78.7,75.5,0.3
939505,79.3,74.5,0.4
939570,76.4,73.5,0.2
939633,75.0,72.2,0.2
939698,73.5,71.2,0.2
939762,72.9,71.0,0.2
939826,72.0,71.0,0.1
939890,71.6,71.0,0.1
939954,71.3,71.8,-0.0
940018,70.9,71.3,-0.0
940082,70.0,72.9,-0.2
940146,69.7,69.9,-0.0
940211,68.8,84.8,-1.3
940274,67.6,70.3,-0.2
940338,67.5,69.7,-0.2
940402,67.7,82.6,-1.2
940509,66.4,800.4,-61.2
940615,64.2,800.4,-61.3
940722,63.5,800.3,-61.4
940829,77.7,800.3,-60.2
940979,805.8,800.3,0.5
941086,79.1,800.3,-60.1
941194,82.8,800.4,-59.8
941343,805.8,800.3,0.5
941494,805.8,800.4,0.5
941643,805.7,800.4,0.4
941794,805.9,800.4,0.5
941943,805.8,800.3,0.5
942093,805.8,800.4,0.4
942243,805.8,800.4,0.5
942393,805.7,800.4,0.4
942543,805.8,800.3,0.5
942693,805.3,800.4,0.4
942842,805.3,800.4,0.4
942993,805.2,800.5,0.4
943142,805.2,800.4,0.4
943292,805.3,800.6,0.4
943442,805.3,800.4,0.4
943592,805.3,800.4,0.4
943742,805.3,800.4,0.4
943892,805.3,800.4,0.4
944041,805.3,800.4,0.4
944192,805.2,800.4,0.4
944342,805.9,800.4,0.5
944491,805.2,800.5,0.4
944642,805.2,800.4,0.4
